# Mwm name	Generation time
Switzerland_Lake Geneva region	6227.611148
Switzerland_Zurich	6204.176286000001
US_Virginia_Lynchburg	6199.545762999999
US_Idaho_South	6196.350702000001
Netherlands_North Brabant_Eindhoven	6146.593274
Germany_Brandenburg_North	6132.460217999999
India_Karnataka_North	6071.2484779999995
Bulgaria_West	6069.274489
France_Upper Normandy	6053.243213000001
Germany_Brandenburg_South	6035.116916000001
China_Yunnan	6008.899152
Brazil_Southeast Region_Sao Paulo_City	5982.481445
South Africa_Gauteng	5976.985414000001
France_Centre-Val de Loire_Indre	5946.06464
US_Pennsylvania_Central	5943.731602000001
UK_England_Yorkshire and the Humber	5905.304397
France_Centre-Val de Loire_Indre-et-Loire	5850.528083
France_Midi-Pyrenees_Haute-Garonne	5805.904809000001
Czech_Jihovychod_Jihomoravsky kraj	5766.292243000001
Switzerland_Northwestern	5751.166869
US_North Carolina_Raleigh	5721.471796
Germany_Free State of Bavaria_Upper Bavaria_East	5701.561281
India_Kerala	5669.266417
US_West Virginia	5644.5454039999995
Israel	5624.736771999999
US_Massachusetts_Boston	5594.371383
Switzerland_Eastern	5592.6182149999995
Paraguay	5559.184051
Netherlands_Gelderland_North	5530.6834
US_Missouri_Springfield	5439.810811000001
Greenland	5434.810299999999
Germany_Free State of Bavaria_Upper Bavaria_Munchen	5397.40106
US_Arizona_Phoenix	5391.76449
India_Telangana	5375.0439639999995
Thailand_North	5361.968827
US_Texas_Austin	5361.248299000001
US_Virginia_Roanoke	5345.718002
US_Texas_Tyler	5337.285822999999
Germany_Lower Saxony_Braunschweig	5323.075997999999
Netherlands_North Brabant_Tiburg	5302.718219
Uruguay	5301.669207999999
US_New Mexico_Roswell	5244.789091000001
New Zealand North_Auckland	5226.5582620000005
US_Pennsylvania_Pittsburgh	5206.681148000001
Senegal	5199.828756
France_Poitou-Charentes_Vienne	5180.383849
Netherlands_Utrecht_Utrecht	5136.733919999999
France_Pays de la Loire_Maine-et-Loire	5116.493198
Greece_Decentralized Administration of Macedonia and Thrace	5098.170093
Portugal_South	5066.162424000001
France_Rhone-Alpes_Loire	5035.251881000001
Indonesia_Central	4995.014657
Belgium_Antwerp	4965.1930409999995
France_Nord-Pas-de-Calais_Pas-de-Calais	4880.217262
France_Free County_North	4867.679096999999
Germany_Lower Saxony_Hannover	4867.577431999999
Germany_Saxony_Dresden	4856.242655999999
Burkina Faso	4838.269885999999
UK_England_East of England_Essex	4838.109993
France_Auvergne_Puy-de-Dome	4819.409361000001
US_Ohio_Columbus	4810.13139
Malaysia	4796.751677999999
US_Illinois_Elgin	4736.115559000001
Afghanistan	4712.205376
US_Mississippi_North	4680.472575000001
India_Gujarat	4656.904941999999
France_Midi-Pyrenees_Aveyron	4654.48025
Ethiopia	4638.610771999999
France_Centre-Val de Loire_Loiret	4626.336195999999
US_Wisconsin_Milwaukee	4625.465407999999
France_Ile-de-France_Seine-et-Marne	4612.325708
France_Brittany_Ille-et-Vilaine	4595.607615999999
US_Arkansas_North	4574.3008070000005
Brazil_Parana_East	4564.993278
